,Year,Week,State,TotalCases,Duration,Mature,Rain,Temp,API
0,2011,1,Pahang,14,40.0,0.7142857142857143,0.8571428571428571,25.0,45.84126984126984
1,2011,1,Selangor,38,46.0,0.42857142857142855,0.5714285714285714,28.0,50.76190476190476
2,2011,1,WPKL,9,32.0,0.0,0.5714285714285714,28.0,46.63095238095238
3,2011,2,Johor,19,36.0,0.5714285714285714,0.8571428571428571,26.0,45.55
4,2011,2,Pahang,14,46.0,0.8571428571428571,0.5714285714285714,25.714285714285715,38.766666666666666
5,2011,2,Selangor,69,41.333333333333336,0.7142857142857143,0.2857142857142857,28.428571428571427,44.21
6,2011,2,WPKL,23,35.0,0.2857142857142857,0.2857142857142857,28.428571428571427,39.6375
7,2011,3,Johor,27,39.0,1.0,0.2857142857142857,26.142857142857142,45.214285714285715
8,2011,3,Penang,6,30.0,0.42857142857142855,0.0,26.857142857142858,50.301587301587304
9,2011,3,Selangor,32,46.0,0.5714285714285714,0.14285714285714285,28.571428571428573,61.32380952380952
10,2011,3,WPKL,20,42.0,0.5714285714285714,0.14285714285714285,28.571428571428573,48.0
11,2011,4,Johor,7,30.0,0.8571428571428571,0.8571428571428571,25.428571428571427,33.404761904761905
12,2011,4,Selangor,42,53.0,0.2857142857142857,0.7142857142857143,27.571428571428573,43.352380952380955
13,2011,4,Terengganu,17,36.0,0.14285714285714285,1.0,27.428571428571427,46.111111111111114
14,2011,4,WPKL,21,49.0,0.2857142857142857,0.7142857142857143,27.571428571428573,36.345238095238095
15,2011,5,Selangor,64,43.0,0.14285714285714285,0.8571428571428571,28.0,45.36190476190476
16,2011,5,Terengganu,17,43.0,0.0,0.2857142857142857,27.142857142857142,44.01587301587302
17,2011,5,WPKL,14,60.0,0.14285714285714285,0.8571428571428571,28.0,39.36904761904762
18,2011,6,Pahang,14,34.0,1.0,0.0,26.285714285714285,40.57142857142857
19,2011,6,Selangor,82,45.0,0.7142857142857143,0.5714285714285714,29.857142857142858,48.38095238095238
20,2011,6,WPKL,17,67.0,0.7142857142857143,0.5714285714285714,29.857142857142858,45.48809523809524
21,2011,7,Johor,4,31.0,0.5714285714285714,0.5714285714285714,27.571428571428573,41.05952380952381
