Year,Week,State,Mature,Rain,Temp
2011,1,Ipoh,0.5714285714285714,0.7142857142857143,25.857142857142858
2011,1,Johor,0.5714285714285714,1.0,26.285714285714285
2011,1,Kelantan,0.14285714285714285,0.8571428571428571,25.0
2011,1,Melaka,0.5714285714285714,0.5714285714285714,26.142857142857142
2011,1,NSembilan,0.42857142857142855,0.5714285714285714,27.428571428571427
2011,1,Pahang,0.7142857142857143,0.8571428571428571,25.0
2011,1,Penang,0.0,0.42857142857142855,27.0
2011,1,Perlis,0.5714285714285714,0.42857142857142855,28.0
2011,1,Sarawak,0.7142857142857143,0.7142857142857143,26.857142857142858
2011,1,Selangor,0.42857142857142855,0.5714285714285714,28.0
2011,1,Terengganu,0.8571428571428571,0.8571428571428571,25.857142857142858
2011,1,WPKL,0.0,0.5714285714285714,28.0
2011,2,Ipoh,1.0,0.5714285714285714,26.714285714285715
2011,2,Johor,0.5714285714285714,0.8571428571428571,26.0
2011,2,Kelantan,0.5714285714285714,0.14285714285714285,25.857142857142858
2011,2,Melaka,0.42857142857142855,1.0,25.857142857142858
2011,2,NSembilan,0.5714285714285714,0.7142857142857143,27.285714285714285
2011,2,Pahang,0.8571428571428571,0.5714285714285714,25.714285714285715
2011,2,Penang,0.2857142857142857,0.5714285714285714,27.857142857142858
2011,2,Perlis,0.42857142857142855,0.14285714285714285,27.857142857142858
2011,2,Sarawak,0.8571428571428571,1.0,25.857142857142858
2011,2,Selangor,0.7142857142857143,0.2857142857142857,28.428571428571427
2011,2,Terengganu,0.8571428571428571,0.14285714285714285,26.571428571428573
2011,2,WPKL,0.2857142857142857,0.2857142857142857,28.428571428571427
2011,3,Ipoh,0.7142857142857143,0.14285714285714285,26.142857142857142
2011,3,Johor,1.0,0.2857142857142857,26.142857142857142
2011,3,Kelantan,0.8571428571428571,0.14285714285714285,25.571428571428573
2011,3,Melaka,0.5714285714285714,0.14285714285714285,26.285714285714285
2011,3,NSembilan,0.5714285714285714,0.14285714285714285,27.857142857142858
2011,3,Pahang,0.8571428571428571,0.14285714285714285,25.857142857142858
2011,3,Penang,0.42857142857142855,0.0,26.857142857142858
2011,3,Perlis,0.42857142857142855,0.0,27.857142857142858
2011,3,Sarawak,0.7142857142857143,0.7142857142857143,25.857142857142858
2011,3,Selangor,0.5714285714285714,0.14285714285714285,28.571428571428573
2011,3,Terengganu,0.8571428571428571,0.0,26.142857142857142
2011,3,WPKL,0.5714285714285714,0.14285714285714285,28.571428571428573
2011,4,Ipoh,0.5714285714285714,1.0,26.0
2011,4,Johor,0.8571428571428571,0.8571428571428571,25.428571428571427
2011,4,Kelantan,0.14285714285714285,1.0,26.285714285714285
2011,4,Melaka,1.0,0.5714285714285714,25.714285714285715
2011,4,NSembilan,0.7142857142857143,0.8571428571428571,27.0
2011,4,Pahang,0.5714285714285714,1.0,25.714285714285715
2011,4,Penang,0.5714285714285714,0.7142857142857143,27.857142857142858
2011,4,Perlis,0.14285714285714285,0.42857142857142855,29.571428571428573
2011,4,Sarawak,1.0,1.0,26.857142857142858
2011,4,Selangor,0.2857142857142857,0.7142857142857143,27.571428571428573
2011,4,Terengganu,0.14285714285714285,1.0,27.428571428571427
2011,4,WPKL,0.2857142857142857,0.7142857142857143,27.571428571428573
2011,5,Ipoh,0.14285714285714285,0.42857142857142855,26.714285714285715
2011,5,Johor,0.2857142857142857,0.5714285714285714,25.714285714285715
2011,5,Kelantan,0.14285714285714285,0.2857142857142857,25.857142857142858
2011,5,Melaka,0.14285714285714285,0.2857142857142857,26.142857142857142
2011,5,NSembilan,0.14285714285714285,0.7142857142857143,27.571428571428573
2011,5,Pahang,0.14285714285714285,0.5714285714285714,25.571428571428573
2011,5,Penang,0.0,0.0,27.857142857142858
2011,5,Perlis,0.0,0.0,29.142857142857142
2011,5,Sarawak,0.7142857142857143,0.7142857142857143,25.714285714285715
2011,5,Selangor,0.14285714285714285,0.8571428571428571,28.0
2011,5,Terengganu,0.0,0.2857142857142857,27.142857142857142
2011,5,WPKL,0.14285714285714285,0.8571428571428571,28.0
2011,6,Ipoh,1.0,0.2857142857142857,27.857142857142858
2011,6,Johor,0.8571428571428571,0.42857142857142855,27.428571428571427
2011,6,Kelantan,1.0,0.0,26.0
2011,6,Melaka,0.5714285714285714,0.14285714285714285,27.571428571428573
2011,6,NSembilan,0.8571428571428571,0.5714285714285714,28.285714285714285
2011,6,Pahang,1.0,0.0,26.285714285714285
2011,6,Penang,0.7142857142857143,0.42857142857142855,28.0
2011,6,Perlis,0.42857142857142855,0.0,28.857142857142858
2011,6,Sarawak,1.0,0.5714285714285714,27.0
2011,6,Selangor,0.7142857142857143,0.5714285714285714,29.857142857142858
2011,6,Terengganu,1.0,0.0,26.285714285714285
2011,6,WPKL,0.7142857142857143,0.5714285714285714,29.857142857142858
2011,7,Ipoh,0.42857142857142855,0.8571428571428571,27.857142857142858
2011,7,Johor,0.5714285714285714,0.5714285714285714,27.571428571428573
2011,7,Kelantan,0.2857142857142857,0.0,26.428571428571427
2011,7,Melaka,0.2857142857142857,0.14285714285714285,27.857142857142858
2011,7,NSembilan,0.7142857142857143,1.0,29.142857142857142
2011,7,Pahang,0.5714285714285714,0.2857142857142857,26.714285714285715
2011,7,Penang,0.0,0.5714285714285714,28.0
2011,7,Perlis,0.0,0.14285714285714285,29.714285714285715
2011,7,Sarawak,0.7142857142857143,0.8571428571428571,26.857142857142858
2011,7,Selangor,0.8571428571428571,1.0,29.857142857142858
2011,7,Terengganu,0.2857142857142857,0.14285714285714285,27.285714285714285
