2011-01-01,27,1
2011-01-02,26,1
2011-01-03,28,1
2011-01-04,24,1
2011-01-05,26,1
2011-01-06,25,1
2011-01-07,26,1
2011-01-08,26,1
2011-01-09,28,1
2011-01-10,28,1
2011-01-11,26,1
2011-01-12,26,1
2011-01-13,26,0
2011-01-14,26,1
2011-01-15,26,1
2011-01-16,27,0
2011-01-17,27,1
2011-01-18,24,1
2011-01-19,26,0
2011-01-20,26,0
2011-01-21,26,1
2011-01-22,26,0
2011-01-23,26,1
2011-01-24,26,1
2011-01-25,24,1
2011-01-26,27,1
2011-01-27,26,1
2011-01-28,26,1
2011-01-29,26,1
2011-01-30,26,1
2011-01-31,26,1
2011-02-01,24,1
2011-02-02,26,1
2011-02-03,27,0
2011-02-04,26,1
2011-02-05,26,1
2011-02-06,26,0
2011-02-07,26,1
2011-02-08,27,0
2011-02-09,26,0
2011-02-10,26,0
2011-02-11,26,1
2011-02-12,27,1
2011-02-13,26,0
2011-02-14,26,0
2011-02-15,27,0
2011-02-16,25,1
2011-02-17,24,1
2011-02-18,26,0
2011-02-19,26,1
2011-02-20,26,1
2011-02-21,25,1
2011-02-22,27,0
2011-02-23,27,1
2011-02-24,27,0
2011-02-25,28,0
2011-02-26,26,0
2011-02-27,28,0
2011-02-28,27,1
2011-03-01,26,1
2011-03-02,26,1
2011-03-03,26,1
2011-03-04,27,0
2011-03-05,26,1
2011-03-06,27,0
2011-03-07,27,1
2011-03-08,26,0
2011-03-09,26,1
2011-03-10,28,1
2011-03-11,28,1
2011-03-12,26,1
2011-03-13,25,1
2011-03-14,26,1
2011-03-15,27,1
2011-03-16,27,0
2011-03-17,26,1
2011-03-18,27,1
2011-03-19,26,1
2011-03-20,26,1
2011-03-21,26,1
2011-03-22,26,1
2011-03-23,25,1
2011-03-24,26,0
2011-03-25,26,1
2011-03-26,24,1
2011-03-27,24,1
2011-03-28,25,1
2011-03-29,25,1
2011-03-30,26,1
2011-03-31,27,1
2011-04-01,27,1
2011-04-02,27,1
2011-04-03,27,1
2011-04-04,24,1
2011-04-05,26,1
2011-04-06,24,1
2011-04-07,25,1
2011-04-08,25,1
2011-04-09,26,0
2011-04-10,26,1
2011-04-11,28,0
2011-04-12,27,0
2011-04-13,26,1
2011-04-14,28,1
2011-04-15,28,0
2011-04-16,27,0
2011-04-17,28,0
2011-04-18,27,0
